sample,sample_name,file,treatment,replicate,species,type
SAM1753A1,Pre_dissociation_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A1_S130_L001_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A1,Pre_dissociation_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A1_S130_L002_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A2,Pre_dissociation_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A2_S131_L001_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A2,Pre_dissociation_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A2_S131_L002_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A3,Pre_dissociation_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A3_S132_L001_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A3,Pre_dissociation_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A3_S132_L002_R1_001.fastq.gz,Pre_single_cell_dissociation,Pre_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A4,Post_dissociation_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A4_S133_L001_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A4,Post_dissociation_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A4_S133_L002_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A5,Post_dissociation_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A5_S134_L001_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A5,Post_dissociation_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A5_S134_L002_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A6,Post_dissociation_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A6_S135_L001_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A6,Post_dissociation_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A6_S135_L002_R1_001.fastq.gz,Post_single_cell_dissociation,Post_single_cell_dissociation,Mus musculus,RNA-Seq
SAM1753A7,Post_FACS_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A7_S136_L001_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
SAM1753A7,Post_FACS_1,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A7_S136_L002_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
SAM1753A8,Post_FACS_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A8_S137_L001_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
SAM1753A8,Post_FACS_2,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A8_S137_L002_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
SAM1753A9,Post_FACS_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A9_S138_L001_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
SAM1753A9,Post_FACS_3,/camp/stp/sequencing/inputs/instruments/fastq/210617_A01366_0023_BH2CH7DMXY/fastq/RN20216/SAM1753A9_S138_L002_R1_001.fastq.gz,Post_FACS,Post_FACS,Mus musculus,RNA-Seq
